NAME,x1,y1,x2,y2,class
cf7734a2-b.jpg,99,88,266,276,PNN
e6a3b579-0.jpg,92,78,272,284,MO
60f95776-f.jpg,110,103,251,251,MM
0894e581-c.jpg,112,121,248,262,LyB
3998a979-3.jpg,94,86,276,281,MO
46ce4b0c-a.jpg,84,110,265,254,LGL
263ef223-c.jpg,226,223,393,386,Thromb
eacb2ac6-f.jpg,112,105,255,258,PNN
c517ba8f-a.jpg,199,125,262,227,LLC
6873cffa-f.jpg,101,103,269,270,PNN
78ca7bad-b.jpg,227,195,383,391,Thromb
924602ae-6.jpg,118,99,249,269,LAM3
d7562ee9-5.jpg,59,239,227,372,EO
5c82a3fa-8.jpg,122,121,247,249,LY
ce76f18d-5.jpg,98,111,246,261,BA
4964ebcd-6.jpg,108,115,262,260,PNN
cf046dfa-4.jpg,86,85,285,287,MoB
ad7fbfa7-0.jpg,111,108,251,263,PNN
538b7e5d-a.jpg,129,132,243,238,LM
04590ab0-5.jpg,95,127,267,320,MO
5a25e162-8.jpg,159,141,285,287,BA
0440b28a-1.jpg,118,116,255,253,BA
c64fb86c-a.jpg,199,472,444,607,MoB
f115e04e-7.jpg,100,103,263,258,PNN
a41a9f91-d.jpg,101,96,266,263,LH_lyAct
5b64d06f-7.jpg,89,86,272,269,LAM3
82ea5648-7.jpg,90,104,272,264,EO
d449b1ce-7.jpg,98,57,268,313,Lysee
a85a1310-3.jpg,142,167,461,515,MO
1a4cb122-8.jpg,121,116,252,257,LAM3
bf1beb2d-3.jpg,129,131,237,242,Er
28be21c7-3.jpg,138,127,235,242,LY
8096a6e5-4.jpg,81,88,183,199,LF
0518ea63-0.jpg,107,112,256,256,MM
b484546a-e.jpg,112,110,261,261,PNN
19658958-f.jpg,144,148,201,210,Thromb
3573c95e-0.jpg,198,195,421,409,LZMG
f3bb9d6c-3.jpg,96,118,267,269,LGL
b4fe0e22-2.jpg,95,100,268,266,MBL
28cfa95f-1.jpg,103,111,252,256,LH_lyAct
87366cfe-b.jpg,84,98,264,255,EO
7c32e5fb-c.jpg,114,107,255,258,SS
23d18e30-7.jpg,165,189,447,428,MBL
80f742a4-e.jpg,88,84,276,288,MoB
f3e288f3-1.jpg,119,124,254,253,LGL
00b40012-1.jpg,136,124,234,247,Er
e4cd14e4-f.jpg,112,143,258,293,LGL
425dec45-b.jpg,127,126,219,223,Er
0f6b11ae-f.jpg,124,86,304,301,MO
0d85c7d8-f.jpg,121,123,241,244,LLC
086b1af1-1.jpg,119,115,256,262,LGL
afa32858-8.jpg,112,113,250,253,MM
730de14a-6.jpg,126,119,243,247,PNN
fa077b98-8.jpg,118,120,253,253,Lysee
